Timestamp,Gender,Age,Current district of residence,University,Domain of Study,"How satisfied or dissatisfied are you with the following [I have no difficulty accessing reliable communication software/tools (e.g., MS Teams, Zoom, Google Hangout)]","How satisfied or dissatisfied are you with the following [I can always find time to participate in synchronous classes (e.g., live-streaming lectures or video conferencing at a set time)]","How satisfied or dissatisfied are you with the following [In general, my instructors are available or responsive]",How satisfied or dissatisfied are you with the following [The adjusted/modified assessment is effective in helping me learn],How satisfied or dissatisfied are you with the following [I feel that my course lessons or activities have been well delivered in the online environment],Which learning environment do you prefer?
9/26/2021 19:30,Male,21,Jaffna,University of peradeniya,Engineering,Satisfied,Neither satisfied nor dissatisfied,Satisfied,Satisfied,Satisfied,Hybrid
9/26/2021 20:31,Male,23,Jaffna,University of colombo,Medicine,Neither satisfied nor dissatisfied,Satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Face-to-face
9/27/2021 6:02,Female,23,Colombo,University of Colombo School of Computing,Arts / Law / Technology,Satisfied,Satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Satisfied,Face-to-face
9/27/2021 8:06,Female,20,Colombo,University of Wolverhampton,Sciences,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Hybrid
9/27/2021 8:59,Female,22,Colombo,ICBS ,Commerce/Management,Satisfied,Dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Face-to-face
9/27/2021 9:07,Female,27,Colombo,University of Peradeniya ,Engineering,Satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Satisfied,Dissatisfied,Hybrid
9/27/2021 11:05,Female,20,Colombo,University of London ,Arts / Law / Technology,Satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Satisfied,Neither satisfied nor dissatisfied,Face-to-face
9/28/2021 23:31,Male,26,Colombo,Univesity of Colombo,Engineering,Dissatisfied,Dissatisfied,Very dissatisfied,Dissatisfied,Neither satisfied nor dissatisfied,Hybrid
10/1/2021 9:48,Male,23,Colombo,University of Colombo,Sciences,Very satisfied,Satisfied,Satisfied,Dissatisfied,Neither satisfied nor dissatisfied,Face-to-face
10/1/2021 10:16,Male,23,Colombo,University of Colombo,Sciences,Very satisfied,Very satisfied,Very satisfied,Dissatisfied,Very satisfied,Face-to-face
10/1/2021 11:55,Female,21,Colombo,Univesity of Colombo,Sciences,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Hybrid
10/1/2021 11:56,Female,21,Colombo,Univesity of Colombo,Sciences,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Hybrid
10/1/2021 19:04,Female,25,Gampaha,University of Colombo ,Sciences,Very satisfied,Very satisfied,Satisfied,Neither satisfied nor dissatisfied,Dissatisfied,Hybrid
10/2/2021 17:03,Female,25,Kurunegala,Univesity of Colombo,Sciences,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Face-to-face
10/10/2021 11:29,Female,21,Kandy,Sri Lanka Institute of Information Technology,Engineering,Neither satisfied nor dissatisfied,Satisfied,Satisfied,Satisfied,Neither satisfied nor dissatisfied,Face-to-face
10/10/2021 11:30,Female,20,Galle,Sri Lanka Institute of Information Technology,Engineering,Neither satisfied nor dissatisfied,Satisfied,Satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Hybrid
10/10/2021 14:21,Male,26,Jaffna,University of Jaffna,Sciences,Satisfied,Satisfied,Neither satisfied nor dissatisfied,Satisfied,Satisfied,Hybrid
10/10/2021 15:41,Female,25,Anuradhapura,University of Peradeniya,Engineering,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Hybrid
10/10/2021 15:42,Male,23,Badulla,University of Peradeniya,Sciences,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Hybrid
10/11/2021 17:11,Female,24,Nuwara Eliya,University of Colombo,Sciences,Very satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Face-to-face
10/11/2021 19:02,Male,24,Colombo,University of Colombo ,Sciences,Satisfied,Satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Hybrid
10/11/2021 19:03,Male,25,Colombo,Sri lanka Institute of Information Technology ,Engineering,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Online
10/11/2021 19:07,Male,27,Jaffna,IESLCE,Engineering,Very satisfied,Satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Face-to-face
10/11/2021 19:18,Female,24,Colombo,University of Colombo,Sciences,Satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Satisfied,Hybrid
10/11/2021 19:30,Male,23,Trincomalee,University of Colombo ,Sciences,Satisfied,Neither satisfied nor dissatisfied,Satisfied,Satisfied,Satisfied,Face-to-face
10/11/2021 22:15,Male,25,Colombo,University of Colombo ,Sciences,Neither satisfied nor dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Hybrid
10/11/2021 22:51,Female,24,Polonnaruwa,University of Colombo School of Computing,Arts / Law / Technology,Dissatisfied,Neither satisfied nor dissatisfied,Satisfied,Satisfied,Satisfied,Face-to-face
10/11/2021 22:52,Male,23,Kegalle,University of Colombo,Commerce/Management,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Online
